學生代碼,學校代碼,教師代碼_國文,教師代碼_英文,教師代碼_數學,班級代碼_國文,班級代碼_英文,班級代碼_數學,班級代碼,每周作業頻率_國文,每周作業頻率標準化_國文,每周作業頻率_英文,每周作業頻率標準化_英文,每周作業頻率_數學,每周作業頻率標準化_數學,作業頻率標準化平均值,作業類型_做習題_國文,做習題標準化_國文,作業類型_作文練習_國文,作文練習標準化_國文,作業類型_剪報或蒐集資料_國文,剪報或蒐集資料標準化_國文,作業類型_聽演講、參觀展覽或看表演_國文,聽演講、參觀展覽或看表演標準化_國文,作業類型_分組專題活動_國文,分組專題活動標準化_國文,作業類型_做習題_英文,做習題標準化_英文,作業類型_作文練習_英文,作文練習標準化_英文,作業類型_剪報或蒐集資料_英文,剪報或蒐集資料標準化_英文,作業類型_聽演講、參觀展覽或看表演_英文,聽演講、參觀展覽或看表演標準化_英文,作業類型_分組專題活動_英文,分組專題活動標準化_英文,作業類型_做習題_數學,做習題標準化_數學,作業類型_作文練習_數學,作文練習標準化_數學,作業類型_剪報或蒐集資料_數學,剪報或蒐集資料標準化_數學,作業類型_聽演講、參觀展覽或看表演_數學,聽演講、參觀展覽或看表演標準化_數學,作業類型_分組專題活動_數學,分組專題活動標準化_數學,作業經常次數_國文,作業經常次數_英文,作業經常次數_數學,綜合分析能力測驗答對題數,一般分析能力測驗答對題數,數學分析能力測驗答對題數,跟得上進度_國文,用功程度_國文,作業表現_國文,跟得上進度_英文,用功程度_英文,作業表現_英文,跟得上進度_數學,用功程度_數學,作業表現_數學
2671,464,9,7,3,2613,2613,2613,2613,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,2,0.66,3,0.33,3,0.33,2,0.66,5,,2,0.66,5,,5,,1,1,5,,5,,5,,4,0,0,0,1,18,9,7,2,3,3,2,2,4,4,4,3
2800,464,8,4,3,3267,3267,3267,3267,2,3.5,1,1.5,1,1.5,2.166666667,3,0.33,2,0.66,2,0.66,3,0.33,3,0.33,1,1,4,0,4,0,4,0,4,0,1,1,5,,5,,5,,4,0,0,1,1,29,10,15,2,3,4,2,1,3,3,3,4
2951,464,2,1,5,2495,2495,2495,2495,1,1.5,2,3.5,2,3.5,2.833333333,2,0.66,3,0.33,4,0,5,,5,,1,1,5,,4,0,4,0,4,0,1,1,4,0,4,0,4,0,3,0.33,0,1,1,37,9,19,2,,,3,3,3,2,2,3
3133,464,8,4,3,3267,3267,3267,3267,2,3.5,1,1.5,1,1.5,2.166666667,3,0.33,2,0.66,2,0.66,3,0.33,3,0.33,1,1,4,0,4,0,4,0,4,0,1,1,5,,5,,5,,4,0,0,1,1,18,13,11,3,4,3,3,4,3,3,3,3
3742,464,9,7,3,2613,2613,2613,2613,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,2,0.66,3,0.33,3,0.33,2,0.66,5,,2,0.66,5,,5,,1,1,5,,5,,5,,4,0,0,0,1,40,16,22,2,3,3,4,4,3,2,3,3
4622,464,9,7,3,2613,2613,2613,2613,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,2,0.66,3,0.33,3,0.33,2,0.66,5,,2,0.66,5,,5,,1,1,5,,5,,5,,4,0,0,0,1,12,3,5,3,3,3,4,4,4,4,4,3
4945,464,2,1,5,2495,2495,2495,2495,1,1.5,2,3.5,2,3.5,2.833333333,2,0.66,3,0.33,4,0,5,,5,,1,1,5,,4,0,4,0,4,0,1,1,4,0,4,0,4,0,3,0.33,0,1,1,35,17,18,2,,,2,2,4,2,3,3
5194,464,8,4,3,3267,3267,3267,3267,2,3.5,1,1.5,1,1.5,2.166666667,3,0.33,2,0.66,2,0.66,3,0.33,3,0.33,1,1,4,0,4,0,4,0,4,0,1,1,5,,5,,5,,4,0,0,1,1,11,8,4,3,4,2,4,4,3,4,4,3
5803,464,8,4,3,3267,3267,3267,3267,2,3.5,1,1.5,1,1.5,2.166666667,3,0.33,2,0.66,2,0.66,3,0.33,3,0.33,1,1,4,0,4,0,4,0,4,0,1,1,5,,5,,5,,4,0,0,1,1,29,12,16,4,4,2,2,3,3,4,4,3
6379,464,8,4,3,3267,3267,3267,3267,2,3.5,1,1.5,1,1.5,2.166666667,3,0.33,2,0.66,2,0.66,3,0.33,3,0.33,1,1,4,0,4,0,4,0,4,0,1,1,5,,5,,5,,4,0,0,1,1,13,5,4,2,2,4,2,2,3,4,3,3
7403,464,2,1,5,2495,2495,2495,2495,1,1.5,2,3.5,2,3.5,2.833333333,2,0.66,3,0.33,4,0,5,,5,,1,1,5,,4,0,4,0,4,0,1,1,4,0,4,0,4,0,3,0.33,0,1,1,32,10,17,2,,,2,2,4,2,2,3
7550,464,9,7,3,2613,2613,2613,2613,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,2,0.66,3,0.33,3,0.33,2,0.66,5,,2,0.66,5,,5,,1,1,5,,5,,5,,4,0,0,0,1,36,17,18,2,3,3,4,4,4,1,2,4
9147,464,9,7,3,2613,2613,2613,2613,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,2,0.66,3,0.33,3,0.33,2,0.66,5,,2,0.66,5,,5,,1,1,5,,5,,5,,4,0,0,0,1,18,7,10,2,3,3,3,3,4,4,3,4
10815,464,8,4,3,3267,3267,3267,3267,2,3.5,1,1.5,1,1.5,2.166666667,3,0.33,2,0.66,2,0.66,3,0.33,3,0.33,1,1,4,0,4,0,4,0,4,0,1,1,5,,5,,5,,4,0,0,1,1,7,5,1,4,4,1,4,4,3,4,4,3
15424,464,2,1,5,2495,2495,2495,2495,1,1.5,2,3.5,2,3.5,2.833333333,2,0.66,3,0.33,4,0,5,,5,,1,1,5,,4,0,4,0,4,0,1,1,4,0,4,0,4,0,3,0.33,0,1,1,39,11,19,2,2,,1,2,4,2,2,4
15976,464,2,1,5,2495,2495,2495,2495,1,1.5,2,3.5,2,3.5,2.833333333,2,0.66,3,0.33,4,0,5,,5,,1,1,5,,4,0,4,0,4,0,1,1,4,0,4,0,4,0,3,0.33,0,1,1,30,7,15,2,,,1,2,4,2,2,4
16115,464,2,1,5,2495,2495,2495,2495,1,1.5,2,3.5,2,3.5,2.833333333,2,0.66,3,0.33,4,0,5,,5,,1,1,5,,4,0,4,0,4,0,1,1,4,0,4,0,4,0,3,0.33,0,1,1,40,15,22,2,3,,4,,4,2,2,3
16980,464,2,1,5,2495,2495,2495,2495,1,1.5,2,3.5,2,3.5,2.833333333,2,0.66,3,0.33,4,0,5,,5,,1,1,5,,4,0,4,0,4,0,1,1,4,0,4,0,4,0,3,0.33,0,1,1,41,11,19,2,2,,1,2,4,2,2,3
17041,464,9,7,3,2613,2613,2613,2613,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,2,0.66,3,0.33,3,0.33,2,0.66,5,,2,0.66,5,,5,,1,1,5,,5,,5,,4,0,0,0,1,21,7,8,2,2,3,2,1,4,2,2,4
17239,464,8,4,3,3267,3267,3267,3267,2,3.5,1,1.5,1,1.5,2.166666667,3,0.33,2,0.66,2,0.66,3,0.33,3,0.33,1,1,4,0,4,0,4,0,4,0,1,1,5,,5,,5,,4,0,0,1,1,6,5,2,4,4,1,3,4,3,4,4,3
17337,464,9,7,3,2613,2613,2613,2613,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,2,0.66,3,0.33,3,0.33,2,0.66,5,,2,0.66,5,,5,,1,1,5,,5,,5,,4,0,0,0,1,37,15,18,2,3,3,4,4,3,1,2,3
17460,464,9,7,3,2613,2613,2613,2613,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,2,0.66,3,0.33,3,0.33,2,0.66,5,,2,0.66,5,,5,,1,1,5,,5,,5,,4,0,0,0,1,37,14,22,2,3,3,2,3,4,1,2,4
17573,464,9,7,3,2613,2613,2613,2613,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,2,0.66,3,0.33,3,0.33,2,0.66,5,,2,0.66,5,,5,,1,1,5,,5,,5,,4,0,0,0,1,32,12,17,2,3,3,3,3,3,3,4,3
18512,464,9,7,3,2613,2613,2613,2613,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,2,0.66,3,0.33,3,0.33,2,0.66,5,,2,0.66,5,,5,,1,1,5,,5,,5,,4,0,0,0,1,27,8,13,2,3,3,4,4,3,2,3,3
19074,464,9,7,3,2613,2613,2613,2613,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,2,0.66,3,0.33,3,0.33,2,0.66,5,,2,0.66,5,,5,,1,1,5,,5,,5,,4,0,0,0,1,28,10,12,2,3,3,3,3,4,3,3,4
19331,464,9,7,3,2613,2613,2613,2613,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,2,0.66,3,0.33,3,0.33,2,0.66,5,,2,0.66,5,,5,,1,1,5,,5,,5,,4,0,0,0,1,24,10,7,2,3,3,3,3,4,3,3,4
19569,464,2,1,5,2495,2495,2495,2495,1,1.5,2,3.5,2,3.5,2.833333333,2,0.66,3,0.33,4,0,5,,5,,1,1,5,,4,0,4,0,4,0,1,1,4,0,4,0,4,0,3,0.33,0,1,1,38,13,18,2,3,,2,2,4,2,2,3
19853,464,2,1,5,2495,2495,2495,2495,1,1.5,2,3.5,2,3.5,2.833333333,2,0.66,3,0.33,4,0,5,,5,,1,1,5,,4,0,4,0,4,0,1,1,4,0,4,0,4,0,3,0.33,0,1,1,40,11,23,2,,,3,3,4,2,2,3
30,465,4,10,9,3888,3888,3888,3888,1,1.5,3,5.5,2,3.5,3.5,1,1,2,0.66,3,0.33,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,1,1,1,52,20,26,2,2,3,2,,3,2,2,4
360,465,4,10,9,3888,3888,3888,3888,1,1.5,3,5.5,2,3.5,3.5,1,1,2,0.66,3,0.33,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,1,1,1,39,6,16,2,2,3,2,1,3,2,2,3
555,465,4,10,9,3888,3888,3888,3888,1,1.5,3,5.5,2,3.5,3.5,1,1,2,0.66,3,0.33,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,1,1,1,47,17,24,2,2,4,2,,3,2,2,4
830,465,5,10,3,3626,3626,3626,3626,1,1.5,3,5.5,1,1.5,2.833333333,1,1,3,0.33,5,,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,3,0.33,1,1,1,30,7,14,2,3,2,2,,3,4,3,3
1708,465,5,10,3,3626,3626,3626,3626,1,1.5,3,5.5,1,1.5,2.833333333,1,1,3,0.33,5,,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,3,0.33,1,1,1,41,14,16,2,2,4,2,1,3,2,2,4
2075,465,5,10,3,3626,3626,3626,3626,1,1.5,3,5.5,1,1.5,2.833333333,1,1,3,0.33,5,,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,3,0.33,1,1,1,44,19,21,2,4,2,3,,2,4,4,2
2358,465,8,2,1,3283,3283,3283,3283,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,0,1,1,32,11,8,3,3,2,2,3,4,3,3,3
2456,465,8,2,1,3283,3283,3283,3283,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,0,1,1,54,20,24,1,1,4,1,1,4,1,1,4
3258,465,8,2,1,3283,3283,3283,3283,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,0,1,1,48,18,20,2,2,3,1,3,4,2,2,3
3376,465,5,10,3,3626,3626,3626,3626,1,1.5,3,5.5,1,1.5,2.833333333,1,1,3,0.33,5,,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,3,0.33,1,1,1,59,22,28,2,3,2,2,,2,2,2,2
4270,465,4,10,9,3888,3888,3888,3888,1,1.5,3,5.5,2,3.5,3.5,1,1,2,0.66,3,0.33,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,1,1,1,47,18,22,2,2,3,2,,3,2,2,3
4578,465,8,2,1,3283,3283,3283,3283,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,0,1,1,39,11,15,2,2,3,2,1,4,3,2,3
4733,465,4,10,9,3888,3888,3888,3888,1,1.5,3,5.5,2,3.5,3.5,1,1,2,0.66,3,0.33,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,1,1,1,42,16,20,2,2,4,2,2,3,2,2,4
6713,465,4,10,9,3888,3888,3888,3888,1,1.5,3,5.5,2,3.5,3.5,1,1,2,0.66,3,0.33,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,1,1,1,48,17,23,3,3,3,3,3,2,2,2,3
7190,465,4,10,9,3888,3888,3888,3888,1,1.5,3,5.5,2,3.5,3.5,1,1,2,0.66,3,0.33,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,1,1,1,28,13,11,4,4,2,4,4,2,3,3,1
7525,465,4,10,9,3888,3888,3888,3888,1,1.5,3,5.5,2,3.5,3.5,1,1,2,0.66,3,0.33,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,1,1,1,44,18,21,2,3,3,4,4,2,3,3,2
7799,465,5,10,3,3626,3626,3626,3626,1,1.5,3,5.5,1,1.5,2.833333333,1,1,3,0.33,5,,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,3,0.33,1,1,1,35,11,14,2,,3,2,,3,2,2,4
8184,465,4,7,6,3838,3838,3838,3838,1,1.5,2,3.5,2,3.5,2.833333333,1,1,2,0.66,3,0.33,5,,5,,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,3,0.33,5,,3,0.33,1,1,1,53,19,26,1,2,4,2,3,4,2,2,3
8448,465,8,2,1,3283,3283,3283,3283,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,0,1,1,41,14,24,2,2,3,2,2,,2,2,4
9214,465,4,7,6,3838,3838,3838,3838,1,1.5,2,3.5,2,3.5,2.833333333,1,1,2,0.66,3,0.33,5,,5,,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,3,0.33,5,,3,0.33,1,1,1,54,20,24,1,2,3,1,2,4,2,3,3
9342,465,8,2,1,3283,3283,3283,3283,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,0,1,1,39,17,19,4,4,1,4,4,2,2,3,2
9569,465,8,2,1,3283,3283,3283,3283,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,0,1,1,15,7,7,3,2,4,3,,,4,,3
9618,465,4,10,9,3888,3888,3888,3888,1,1.5,3,5.5,2,3.5,3.5,1,1,2,0.66,3,0.33,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,1,1,1,46,18,22,2,2,3,2,2,3,3,3,4
9835,465,4,7,6,3838,3838,3838,3838,1,1.5,2,3.5,2,3.5,2.833333333,1,1,2,0.66,3,0.33,5,,5,,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,3,0.33,5,,3,0.33,1,1,1,51,18,27,2,2,4,1,2,4,2,3,4
10010,465,8,2,1,3283,3283,3283,3283,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,0,1,1,48,16,24,2,3,1,2,3,4,2,2,4
10080,465,8,2,1,3283,3283,3283,3283,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,0,1,1,37,14,20,2,3,2,2,3,4,3,3,3
10099,465,4,10,9,3888,3888,3888,3888,1,1.5,3,5.5,2,3.5,3.5,1,1,2,0.66,3,0.33,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,1,1,1,35,16,14,3,4,2,4,4,2,3,2,3
10585,465,5,10,3,3626,3626,3626,3626,1,1.5,3,5.5,1,1.5,2.833333333,1,1,3,0.33,5,,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,3,0.33,1,1,1,51,17,26,2,2,4,2,2,3,2,1,4
10699,465,4,7,6,3838,3838,3838,3838,1,1.5,2,3.5,2,3.5,2.833333333,1,1,2,0.66,3,0.33,5,,5,,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,3,0.33,5,,3,0.33,1,1,1,54,23,24,2,2,3,1,1,4,2,3,3
10763,465,5,10,3,3626,3626,3626,3626,1,1.5,3,5.5,1,1.5,2.833333333,1,1,3,0.33,5,,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,3,0.33,1,1,1,34,7,19,2,3,2,2,,,2,2,2
10916,465,5,10,3,3626,3626,3626,3626,1,1.5,3,5.5,1,1.5,2.833333333,1,1,3,0.33,5,,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,3,0.33,1,1,1,41,17,20,2,,2,3,,2,4,4,1
11008,465,4,7,6,3838,3838,3838,3838,1,1.5,2,3.5,2,3.5,2.833333333,1,1,2,0.66,3,0.33,5,,5,,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,3,0.33,5,,3,0.33,1,1,1,49,20,26,2,2,4,1,2,4,2,2,4
11333,465,8,2,1,3283,3283,3283,3283,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,0,1,1,36,11,14,3,3,3,2,2,4,3,,4
11512,465,4,10,9,3888,3888,3888,3888,1,1.5,3,5.5,2,3.5,3.5,1,1,2,0.66,3,0.33,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,1,1,1,37,15,13,2,2,2,2,3,2,4,4,1
11765,465,4,7,6,3838,3838,3838,3838,1,1.5,2,3.5,2,3.5,2.833333333,1,1,2,0.66,3,0.33,5,,5,,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,3,0.33,5,,3,0.33,1,1,1,55,21,27,2,2,3,2,3,3,2,3,2
12307,465,4,7,6,3838,3838,3838,3838,1,1.5,2,3.5,2,3.5,2.833333333,1,1,2,0.66,3,0.33,5,,5,,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,3,0.33,5,,3,0.33,1,1,1,52,18,26,1,1,4,1,2,4,2,2,4
12333,465,4,7,6,3838,3838,3838,3838,1,1.5,2,3.5,2,3.5,2.833333333,1,1,2,0.66,3,0.33,5,,5,,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,3,0.33,5,,3,0.33,1,1,1,40,15,20,3,3,3,3,3,3,3,4,3
12378,465,8,2,1,3283,3283,3283,3283,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,0,1,1,42,12,16,2,1,4,2,1,4,2,1,4
12658,465,4,7,6,3838,3838,3838,3838,1,1.5,2,3.5,2,3.5,2.833333333,1,1,2,0.66,3,0.33,5,,5,,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,3,0.33,5,,3,0.33,1,1,1,28,11,13,3,2,4,4,4,2,3,2,4
13858,465,5,10,3,3626,3626,3626,3626,1,1.5,3,5.5,1,1.5,2.833333333,1,1,3,0.33,5,,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,3,0.33,1,1,1,38,8,19,2,2,4,2,2,3,2,2,4
13863,465,4,10,9,3888,3888,3888,3888,1,1.5,3,5.5,2,3.5,3.5,1,1,2,0.66,3,0.33,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,1,1,1,55,20,25,1,1,4,2,1,3,2,2,4
14723,465,5,10,3,3626,3626,3626,3626,1,1.5,3,5.5,1,1.5,2.833333333,1,1,3,0.33,5,,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,3,0.33,1,1,1,47,17,23,2,2,4,2,,,3,3,4
15795,465,8,2,1,3283,3283,3283,3283,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,0,1,1,41,16,19,3,2,2,2,2,4,3,3,3
15953,465,5,10,3,3626,3626,3626,3626,1,1.5,3,5.5,1,1.5,2.833333333,1,1,3,0.33,5,,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,3,0.33,1,1,1,48,19,26,2,2,3,3,,3,2,2,4
16823,465,4,10,9,3888,3888,3888,3888,1,1.5,3,5.5,2,3.5,3.5,1,1,2,0.66,3,0.33,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,1,1,1,46,17,21,2,2,3,2,,3,3,2,4
17202,465,4,7,6,3838,3838,3838,3838,1,1.5,2,3.5,2,3.5,2.833333333,1,1,2,0.66,3,0.33,5,,5,,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,3,0.33,5,,3,0.33,1,1,1,55,20,27,2,3,3,1,3,3,2,3,3
17513,465,4,10,9,3888,3888,3888,3888,1,1.5,3,5.5,2,3.5,3.5,1,1,2,0.66,3,0.33,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,1,1,1,11,3,7,4,4,1,4,4,1,4,4,1
17608,465,4,7,6,3838,3838,3838,3838,1,1.5,2,3.5,2,3.5,2.833333333,1,1,2,0.66,3,0.33,5,,5,,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,3,0.33,5,,3,0.33,1,1,1,51,19,26,4,4,1,3,4,1,3,4,2
18902,465,5,10,3,3626,3626,3626,3626,1,1.5,3,5.5,1,1.5,2.833333333,1,1,3,0.33,5,,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,3,0.33,1,1,1,29,10,12,2,2,4,2,2,3,3,2,4
19200,465,5,10,3,3626,3626,3626,3626,1,1.5,3,5.5,1,1.5,2.833333333,1,1,3,0.33,5,,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,3,0.33,1,1,1,47,17,24,2,,3,2,,3,2,,4
19306,465,5,10,3,3626,3626,3626,3626,1,1.5,3,5.5,1,1.5,2.833333333,1,1,3,0.33,5,,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,3,0.33,1,1,1,36,11,22,2,3,3,2,,3,2,3,3
19757,465,4,7,6,3838,3838,3838,3838,1,1.5,2,3.5,2,3.5,2.833333333,1,1,2,0.66,3,0.33,5,,5,,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,3,0.33,5,,3,0.33,1,1,1,54,20,26,2,2,4,1,3,2,2,3,3
19827,465,4,10,9,3888,3888,3888,3888,1,1.5,3,5.5,2,3.5,3.5,1,1,2,0.66,3,0.33,5,,5,,1,1,2,0.66,2,0.66,3,0.33,3,0.33,1,1,5,,5,,5,,5,,1,1,1,19,2,6,2,2,4,3,,,2,2,4
19896,465,4,7,6,3838,3838,3838,3838,1,1.5,2,3.5,2,3.5,2.833333333,1,1,2,0.66,3,0.33,5,,5,,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,5,,3,0.33,5,,3,0.33,1,1,1,48,16,22,4,4,1,4,4,1,4,4,1
81,466,12,3,2,2668,2668,2668,2668,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,3,0.33,3,0.33,3,0.33,1,1,3,0.33,2,0.66,3,0.33,2,0.66,1,1,5,,4,0,4,0,4,0,1,1,1,15,4,7,4,4,3,3,3,3,3,4,2
773,466,9,7,,3455,3455,,3455,1,1.5,6,0,,,0.75,1,1,3,0.33,3,0.33,97,,97,,1,1,5,,4,0,5,,5,,,,,,,,,,,,1,1,,41,13,20,2,2,4,2,2,,99,99,99
805,466,8,11,6,3777,3777,3777,3777,1,1.5,1,1.5,1,1.5,1.5,2,0.66,3,0.33,3,0.33,5,,5,,2,0.66,3,0.33,3,0.33,3,0.33,2,0.66,2,0.66,4,0,4,0,4,0,4,0,0,0,0,38,15,19,3,3,2,2,3,2,3,3,3
822,466,9,7,,3455,3455,,3455,1,1.5,6,0,,,0.75,1,1,3,0.33,3,0.33,97,,97,,1,1,5,,4,0,5,,5,,,,,,,,,,,,1,1,,32,14,17,2,2,4,2,2,,99,99,99
1039,466,13,1,,3099,3099,,3099,6,0,1,1.5,,,0.75,2,0.66,2,0.66,3,0.33,5,,5,,2,0.66,5,,5,,5,,5,,,,,,,,,,,,0,0,,43,17,23,2,2,3,3,3,3,99,99,99
1747,466,10,7,,2406,2406,,2406,1,1.5,1,1.5,,,1.5,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,1,1,1,1,3,0.33,4,0,4,0,,,,,,,,,,,0,2,,49,19,23,2,2,2,1,2,3,99,99,99
2009,466,8,11,6,3777,3777,3777,3777,1,1.5,1,1.5,1,1.5,1.5,2,0.66,3,0.33,3,0.33,5,,5,,2,0.66,3,0.33,3,0.33,3,0.33,2,0.66,2,0.66,4,0,4,0,4,0,4,0,0,0,0,16,4,6,3,3,3,2,2,4,3,2,3
2124,466,10,7,,2406,2406,,2406,1,1.5,1,1.5,,,1.5,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,1,1,1,1,3,0.33,4,0,4,0,,,,,,,,,,,0,2,,51,18,25,2,2,3,2,1,3,99,99,99
2754,466,8,11,6,3777,3777,3777,3777,1,1.5,1,1.5,1,1.5,1.5,2,0.66,3,0.33,3,0.33,5,,5,,2,0.66,3,0.33,3,0.33,3,0.33,2,0.66,2,0.66,4,0,4,0,4,0,4,0,0,0,0,16,7,7,3,3,2,3,3,2,4,3,2
2929,466,10,7,,2406,2406,,2406,1,1.5,1,1.5,,,1.5,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,1,1,1,1,3,0.33,4,0,4,0,,,,,,,,,,,0,2,,41,13,21,2,2,3,2,1,3,99,99,99
